Dealer,State,SaleDate,Make,Model,Year,Mileage,SalePrice,CostPrice,Profit,PaymentType,CustomerType,DaysOnLot,CarType
Dallas Toyota,TX,2022-06-11,Toyota,Tundra,2011,29936,22448,19841,2606,Loan,New,9,Truck
Toyota of Manhattan,NY,2021-11-26,Toyota,Tacoma,2016,87059,21882,19483,2398,Cash,New,43,Truck
San Diego Toyota,CA,2016-04-25,Toyota,Tundra,2014,64686,22841,21542,1299,Loan,New,42,Truck
Brooklyn Toyota,NY,2022-10-22,Toyota,Rav4,2020,42404,29545,27633,1911,Loan,New,25,SUV
Dallas Toyota,TX,2022-07-15,Toyota,Highlander,2015,40937,19511,17350,2161,Loan,New,29,SUV
Toyota of Manhattan,NY,2019-05-09,Toyota,Rav4,2014,64466,20313,18458,1854,Loan,New,54,SUV
Bay Area Toyota,CA,2019-03-12,Toyota,Tundra,2020,33585,27890,25853,2036,Loan,New,38,Truck
Bay Area Toyota,CA,2018-04-04,Toyota,Corolla,2020,22886,25988,24286,1702,Loan,New,8,Sedan
Toyota of Houston,TX,2017-10-17,Toyota,Prius,2012,79226,15199,12799,2399,Loan,Returning,52,Hatchback
San Diego Toyota,CA,2015-12-28,Toyota,Rav4,2013,50357,22343,20039,2303,Lease,New,64,SUV
Toyota of Manhattan,NY,2021-08-06,Toyota,Prius,2018,16579,32372,28391,3981,Lease,New,21,Hatchback
Bay Area Toyota,CA,2018-04-20,Toyota,Corolla,2020,32217,32453,28892,3560,Cash,New,3,Sedan
Brooklyn Toyota,NY,2022-01-06,Toyota,Tundra,2012,76317,9821,9109,712,Loan,New,44,Truck
Queens Toyota,NY,2018-07-12,Toyota,Corolla,2011,104393,16286,13531,2755,Loan,Returning,52,Sedan
Bay Area Toyota,CA,2023-01-05,Toyota,Camry,2013,62836,21292,18875,2416,Loan,New,63,Sedan
Queens Toyota,NY,2019-09-19,Toyota,Corolla,2022,26765,36468,34057,2410,Cash,New,53,Sedan
Dallas Toyota,TX,2022-12-02,Toyota,Tundra,2014,72361,19331,16617,2713,Cash,New,49,Truck
San Diego Toyota,CA,2024-05-03,Toyota,Corolla,2011,90219,21930,17744,4185,Loan,New,57,Sedan
Austin Toyota,TX,2022-11-02,Toyota,Camry,2024,37222,30090,28539,1551,Loan,New,1,Sedan
Queens Toyota,NY,2019-09-02,Toyota,Tundra,2024,34070,32672,27953,4719,Lease,New,33,Truck
